priority,channel,type,market,verified_url,eligibility_or_constraint,investment_level,primary_products,utm_source,status,next_action
A,JEC Composites Directory,industry supplier directory,Global,https://www.jeccomposites.com/directory/,Public directory is live; supplier listing route must be confirmed with JEC sales,Unknown,NCF; 3K plate; Tow;jec_directory,Ready for contact,Ask JEC sales for supplier profile requirements and pricing
A,JEC Forums Supplier Program,qualified buyer meetings,Europe and regional markets,https://www.jeccomposites.com/networking/,Supplier participation is reviewed and capacity can be limited,Paid,NCF; 3K plate; Tow,jec_forum,Ready for contact,Request the next relevant supplier program and buyer categories
A,China Composites Expo 2026,trade exhibition and exhibitor directory,China and global,https://www.chinacompositesexpo.com/en/,Official exhibitor registration is available; confirm remaining 2026 space and deadlines,Paid,All six core products,cce_2026,Time-sensitive,Contact the organizer before preparing a booth or directory package
A,Composite-Expo 2027,trade exhibition and business program,Russia and CIS,https://composite-expo.com/,Official online stand booking and business-program participation are available,Paid,NCF; Tow; 3K woven; strengthening,composite_expo_2027,Ready for contact,Request exhibitor package and Russian-language directory requirements
B,SAMPE Global,professional association and industry resource guide,Global,https://sampe.org/membership/,Membership includes an industry resource guide or membership directory; regional rates apply,Paid membership,NCF; 3K plate; Tow,sampe,Qualification review,Contact SAMPE China for company eligibility and directory fields
B,ACMA Supplier Membership,trade association and member directory,North America,https://acmanet.org/membership/why-membership-matters/,Supplier definition includes fiber and composite-material suppliers,Paid membership,NCF; 3K plate; Tow; strengthening,acma,Qualification review,Request international supplier eligibility and annual dues
B,CAMX 2026,trade exhibition and exhibitor listing,North America,https://www.thecamx.org/exhibit-sponsor/,Official 2026 exhibitor and sponsor opportunities are open; confirm late availability,Paid,NCF; 3K plate; Tow,camx_2026,Time-sensitive,Request prospectus and decide attendance versus exhibiting from buyer fit
B,AVK,European composites association and member network,Germany and Europe,https://www.avk-tv.de/en/members-3/members/membership/,Official page states national and international companies are members,Paid membership,NCF; 3K plate; Tow; strengthening,avk,Ready for qualification,Request international supplier membership terms and directory exposure
B,DirectIndustry,industrial manufacturer directory and RFQ platform,Global,https://www.directindustry.com/,Manufacturer account and product exhibition are available; commercial terms require review,Commercial platform,NCF; 3K plate; Tow; 3K woven,directindustry,Ready for contact,Request manufacturer onboarding and submit only the six priority families
B,europages,European B2B supplier marketplace,Europe,https://supplier.europages.com/en/rfc,B2B supplier onboarding requires consistent company and contact data,Commercial platform,NCF; 3K plate; Tow; 3K woven,europages,Ready for contact,Create or review one authoritative company profile before adding products
Hold,Composites UK,trade association and supplier database,United Kingdom,https://compositesuk.co.uk/membership/,Constitution states overseas companies join through a UK office,Paid membership,NCF; strengthening,composites_uk,Hold,Do not apply unless a UK office or written eligibility confirmation exists
