priority,product,canonical_url,priority_markets,keyword_target,buyer_intent,local_destination_policy,evidence_boundary
P1,Woven Carbon Fiber Fabric,/products/carbon-fiber-woven-fabric,"Russia;Turkey;UAE;Brazil","3K woven carbon fiber fabric supplier",supplier sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Published 3K 200gsm twill TDS only
P1,Woven Carbon Fiber Fabric,/products/carbon-fiber-woven-fabric,"Russia;Turkey;UAE;Brazil","3K 200gsm twill carbon fiber fabric supplier",specification sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Published 3K 200gsm twill TDS only
P1,Woven Carbon Fiber Fabric,/products/carbon-fiber-woven-fabric,"Russia;Turkey;UAE;Brazil","carbon fiber cloth manufacturer",manufacturer sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Do not imply unverified weave/tow availability
P1,Carbon Fiber Multiaxial NCF Fabric,/products/carbon-fiber-multiaxial-ncf-fabric,"Russia;Turkey;UAE;Brazil","carbon fiber multiaxial fabric supplier",supplier sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Published 300gsm and 600gsm documents
P1,Carbon Fiber Multiaxial NCF Fabric,/products/carbon-fiber-multiaxial-ncf-fabric,"Russia;Turkey;UAE;Brazil","600gsm biaxial carbon fiber fabric supplier",specification sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",600gsm +45/-45 TDS only
P1,Carbon Fiber Multiaxial NCF Fabric,/products/carbon-fiber-multiaxial-ncf-fabric,"Russia;Turkey;UAE;Brazil","+45 -45 carbon NCF supplier",orientation sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Confirm construction and process by order
P1,Carbon Fiber Multiaxial NCF Fabric,/products/carbon-fiber-multiaxial-ncf-fabric,"Russia;Turkey;UAE;Brazil","300gsm biaxial carbon fiber fabric supplier",specification sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",300gsm TDS scope includes 0/90 and +45/-45 constructions
P1,UD Carbon Fiber Fabric,/products/carbon-fiber-ud-fabric,"Russia;Turkey;UAE;Brazil","300gsm UD carbon fiber fabric supplier",supplier sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Published 300gsm UD TDS
P1,UD Carbon Fiber Fabric,/products/carbon-fiber-ud-fabric,"Russia;Turkey;UAE;Brazil","UD carbon fiber strengthening fabric supplier",material sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Material supply only; engineering review required
P1,UD Carbon Fiber Fabric,/products/carbon-fiber-ud-fabric,"Russia;Turkey;UAE;Brazil","unidirectional carbon fiber fabric manufacturer",manufacturer sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Do not publish fixed resin use or installation design
P1,3K Carbon Fiber Laminate Sheet,/products/3k-carbon-fiber-laminate-sheet,"Russia;Turkey;UAE;Brazil","3K carbon fiber sheet supplier",supplier sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence","English SPEC/RFQ guide, no product TDS"
P1,3K Carbon Fiber Laminate Sheet,/products/3k-carbon-fiber-laminate-sheet,"Russia;Turkey;UAE;Brazil","3K carbon fiber laminate manufacturer",manufacturer sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Thickness and layup by order review
P1,3K Carbon Fiber Laminate Sheet,/products/3k-carbon-fiber-laminate-sheet,"Russia;Turkey;UAE;Brazil","twill carbon fiber plate supplier",finish and appearance sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Surface and finish require order confirmation
P1,3K Carbon Fiber Laminate Sheet,/products/3k-carbon-fiber-laminate-sheet,"Russia;Turkey;UAE;Brazil","carbon fiber plate CNC cutting supplier",drawing-based sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",CNC feasibility by drawing review
P1,Carbon Fiber Yarn and Tow,/products/carbon-fiber-yarn-and-tow,"Russia;Turkey;UAE;Brazil","12K carbon fiber tow supplier",supplier sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Published 12K supply reference
P1,Carbon Fiber Yarn and Tow,/products/carbon-fiber-yarn-and-tow,"Russia;Turkey;UAE;Brazil","carbon fiber yarn supplier",supplier sourcing,"Use the matching live locale route; native-term expansion requires GSC/Yandex evidence",Grade and sizing require selected source confirmation
