product_id,family,existing_url,main_keyword,secondary_keywords,buyer_intent,target_countries,target_languages,supporting_documents,asset_status,conversion_goal,required_new_url,publication_status,evidence_gate,notes
carbon-fiber-multiaxial-ncf-fabric,multiaxial-ncf,/products/carbon-fiber-multiaxial-ncf-fabric,carbon fiber multiaxial fabric supplier,"biaxial carbon fiber fabric; 300gsm biaxial carbon fabric; 600gsm +45/-45 carbon NCF",supplier and specification RFQ,"Russia; Poland; Vietnam; Thailand; Turkey",en|ru|pl|vi|th|tr,"300gsm TDS; 600gsm +45/-45 TDS; 400gsm quadraxial supply reference",image+video+PDF,tds_download,"No new product URL; strengthen the existing canonical page",live,"Use only values supported by the linked document",Do not split 300gsm and 600gsm into public SKU pages without approved scope
carbon-fiber-woven-fabric,woven-fabric,/products/carbon-fiber-woven-fabric,3K woven carbon fiber fabric,"3K 200gsm twill carbon fiber fabric; carbon fiber cloth supplier; twill carbon fiber cloth",supplier and finish/weight RFQ,"Russia; Turkey; Poland; Vietnam; Thailand; UAE; Brazil",en|ru|tr|pl|vi|th|ar|pt-br,"3K 200gsm twill TDS",image+video+PDF,tds_download,"No new URL; use existing canonical page",live,"Published 3K 200gsm twill only",Plain weave must remain an order-review item until evidence is approved
carbon-fiber-ud-fabric,ud-fabric,/products/carbon-fiber-ud-fabric,300gsm UD carbon fiber fabric,"unidirectional carbon fiber reinforcement; CFRP strengthening fabric supplier; 200gsm UD supply reference",strengthening and directional reinforcement RFQ,"Russia; Turkey; Poland; UAE; Brazil",en|ru|tr|pl|ar|pt-br,"300gsm UD TDS; 200gsm strengthening supply reference",image+PDF,tds_download,"No new URL; use existing canonical page",live,"Separate published 300gsm TDS from legacy 200gsm supply reference",Keep civil end-use and project review language
spread-tow-carbon-fiber-fabric,spread-tow,/products/spread-tow-carbon-fiber-fabric,spread tow carbon fiber fabric,"8x8mm carbon fiber fabric; 10x10mm carbon fiber fabric; spread tow carbon cloth",appearance and laminate sourcing RFQ,"Turkey; Poland; South Korea; UAE",en|tr|pl|ko|ar,No verified product PDF,image,rfq_submit,"No new URL until a verified construction is available",live,"Do not publish dimensional or weight claims without evidence",Keep 8x8mm/10x10mm as request terms only
carbon-fiber-yarn-and-tow,yarn-and-tow,/products/carbon-fiber-yarn-and-tow,carbon fiber tow supplier,"12K carbon fiber tow; carbon fiber yarn supplier; PAN based carbon fiber tow",tow grade and packing RFQ,"Russia; Turkey; Poland; Vietnam; Thailand; South Korea",en|ru|tr|pl|vi|th|ko,"High strength 12K tow supply reference",image+video+PDF,tds_download,"No new 12K/24K/50K URLs until evidence is separately approved",live,"Only 12K has a published supply reference",24K and 50K remain candidate specifications
prepreg-carbon-fiber-materials,prepreg,/products/prepreg-carbon-fiber-materials,carbon fiber prepreg supplier,"woven carbon fiber prepreg; UD carbon prepreg; carbon fiber prepreg materials",material/process RFQ,"Turkey; Poland; South Korea; UAE; Brazil",en|tr|pl|ko|ar|pt-br,"WP-L5100 prepreg TDS",image+PDF,tds_download,"No new construction URL until resin and storage evidence is approved",live,"Do not state cure schedule/storage life beyond source document",Keep material/process selection questions in RFQ
chopped-carbon-fiber,chopped-fiber,/products/chopped-carbon-fiber,chopped carbon fiber supplier,"short carbon fiber for resin; chopped carbon fiber plastic reinforcement; carbon fiber chopped strands",grade and resin reinforcement RFQ,"Turkey; Poland; Vietnam; Thailand; Brazil",en|tr|pl|vi|th|pt-br,No verified product PDF,image,rfq_submit,"Candidate only: /products/12mm-chopped-carbon-fiber",draft,"Need approved fiber length, sizing and application evidence",Do not publish candidate
milled-carbon-fiber-powder,milled-powder,/products/milled-carbon-fiber-powder,milled carbon fiber powder,"carbon fiber powder supplier; 300 mesh milled carbon fiber; carbon powder for plastic and resin",mesh grade and compounding RFQ,"Russia; Turkey; Poland; Vietnam; Thailand; Brazil",en|ru|tr|pl|vi|th|pt-br,"300 mesh milled carbon fiber powder TDS",image+PDF,tds_download,"No new URL; use existing canonical page",live,"Keep mesh grade tied to TDS",Resin compatibility remains an order-review item
3k-carbon-fiber-laminate-sheet,3k-laminate-sheet,/products/3k-carbon-fiber-laminate-sheet,3K carbon fiber plate supplier,"3K carbon fiber sheet; twill carbon fiber laminate sheet; custom thickness carbon fiber plate; CNC cutting",sheet sourcing and drawing RFQ,"Russia; Poland; Vietnam; Thailand; South Korea; Turkey; UAE; Brazil",en|ru|pl|vi|th|ko|tr|ar|pt-br,"3K laminate sheet RFQ specification guide",image+video+SPEC,tds_download,"No new URL; use existing canonical page",live,"Guide supports RFQ scope not unverified mechanical values",Keep distinct from pultruded strengthening plate
3k-surface-carbon-fiber-tube,carbon-fiber-tube,/products/3k-surface-carbon-fiber-tube,3K surface carbon fiber tube,"3K twill carbon fiber tube; visible carbon fiber tube; carbon fiber tube supplier",surface finish and tube RFQ,"Russia; Turkey; Poland; South Korea",en|ru|tr|pl|ko,No verified product PDF,image,rfq_submit,"Candidate only: /products/3k-twill-carbon-fiber-tube",draft,"Need construction and dimension evidence",Do not create a duplicate of the existing canonical page without approved scope
